"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2019018378,"05","0","1817 N 52ND ST APT A","","PHILLADELPHIA","PA","19131","ON THE ROAD TRUCKING","2674465236","080000","","","","","N","","","","","","N","","2","03160538","08"
2019032031,"05","1","19 FRANKLIN AVE, APT 5","","HARRISON","NJ","07029","AJ LOGISTICS CORP","6469389583","080000","","","","","N","","","","","","N","","1","02384629","08"
2019032031,"05","1","1350 TEXAS STR","","GARY","IN","46402","US LEASING LLC","7085161871","080000","","","","","N","","","","","","N","","2","01136172","08"
2019032769,"05","4","10082 JORDAN RD","","JORDAN","NY","13080","MARK E WILLIAMS","3157294509","102000","","","","","N","","","","","","N","","2","00211745","08"
2019037420,"02","1","77 WITMAN RD","","READING","PA","19604","AD LOGISTICS","6109298888","025995","","","","","N","","","","","","N","UNKNOWN","1","02489662","03"
2019043207,"05","3","1010 WEST MAIN ST","","MOUNT JOY","PA","17552","MELHORN SALES SERVICE &TRUCKING","7176531102","080000","","","","","N","","","","","","N","A-00120890","1","","08"
2019043219,"05","2","26 E MILL ST","","PEDRICKTOWN","NJ","08067","LACY'S EXPRESS INC","8562992569","030000","","","","","N","","","","","","N","","2","00043217","08"
2019043440,"05","1","199 COMERCIAL PARK DRIV","","LOUDEN","TN","37774","PURDY BROS","8654089408","032500","","","","","N","","","","","","N","","2","00181677","04"
2019051345,"03","9","786 GLENNWOOD DRIVE","","EPHRATA","PA","17522","MARK ZIMMERMAN","7175872290","058400","","","","","N","","","","","","N","","1","00764976","04"
2019051948,"03","9","24 VERDI CIRCLE","","NEWARK","DE","19702","KINOLAND LOGISTICS LLC","3023325409","026000","","","","","N","","","","","","N","A-00999999","1","02839820","09"
2019057526,"99","9","65 RAILROAD AVE","","RIDGEFIELD PARK","NJ","07660","BOLERO SNORT LLC","9999999999","999999","","","","","N","","","","","","U","","2","","99"
2019067081,"02","1","2100 HIGHWAY 55","","MEDINA","MN","55340","TAP WORLDWIDE","8005486454","033000","","","","","N","","","","","","N","","2","01959770","03"
2019073530,"05","3","146 PENN ST","","WASHINGTON BORO","PA","17582","SLAYMAKER SPECIALIZED LLC","7175722321","033001","","","","","N","","","","","","N","","1","03256259","08"
2019074040,"99","6","1900 BERKLEY ST","","ELGIN","IL","30123","G HUB TRANSPORT CORP","8479566088","080000","","","","","N","","","","","","N","","2","01302900","06"
2019085956,"99","8","199 HARTMAN BRIDGE RD.","","STRASBURG","PA","17579","AMISH VILLAGE CORP.","7176878511","999999","","","","","N","","","","","","N","A-06414522","2","","10"
2019086222,"03","7","85 BRICKYARD RD","PO BOX 3006","YORK","PA","17402","PENN WASTE INC","7178184811","","","","","","N","","","","","","","000","2","00000000","04"
2019093827,"02","0","575 MILLCROSS ROAD","","LANCASTER","PA","17601","HOSTETTER MOBILE HOME SERVICE","7175875351","999999","","","","","N","","","","","","N","","2","01063870","08"
2019095093,"03","9","1123 WABANK RD","","LANCASTER","PA","17603","MICHELYLL EXPRESS LLC","7179622725","080000","","","","","N","","","","","","N","","2","02942519","04"
2019114012,"02","3","1145 RIDGE AVE","","COLUMBIA","PA","17512","DOUG'S TREE SERVICE","7176846489","","","","","","N","","","","","","N","","1","02193650","03"
2019122477,"06","9","43 GRAYBILL ROAD","","LEOLA","PA","17540","GROCERY OUTLET","7175568614","080000","","","","","N","","","","","","U","","2","02259712","08"
2019009852,"99","1","139 SUPERVISORS RD","","LANCASTER","PA","17603","RSC HEATING & AIRCONDITIONING L","9999999999","010050","","","","","N","","","","","","N","","2","","05"
2019012061,"99","9","105 MAYTOWN RD","","ELIZABETHTOWN","PA","17022","BURKHART & QUINN SIGN CO INC DBA","7173671375","011000","","","","","N","","","","","","U","","1","","05"
2019024598,"05","1","22 BIRMINGHAM DR","","COLUMBUS","NJ","08022","PST TRUCKING","7328226669","080000","","","","","N","","","","","","N","","1","01970230","08"
2019024598,"05","6","100 CANTERBURY ST","","BILLERICA","MA","01821","E ONE AUTO TRANSPORT","9783628396","080000","","","","","N","","","","","","N","","2","02465359","08"
2019027239,"05","3","P.O. BOX 247491","","COLUMBUS","OH","43224","AK EXPRESS TRANSPORT LLC","7735921601","080000","","","","","N","","","","","","N","","1","02573444","08"
2019029278,"02","9","5011 MIDDLEBROOK PK","","KNOXVILLE","TN","37921","SUNBELT RENTALS INC","4435643594","999999","","","","","N","","","","","","N","","1","00500579","99"
2019031648,"99","9","704 PULASKI HWY","","JOPPA","MD","21085","AMREIN FOODS","9999999999","999999","","","","","N","","","","","","U","","1","","99"
2019040250,"05","9","2001 HARRISBURG PIKE","","CARLISLE","PA","17015","ABF FREIGHT SYSTEM CO","8006105544","014200","","","","","N","","","","","","N","","1","00082866","04"
2019040421,"05","2","125 SHADY LANE,","","QUARRYVILLE","PA","17566","O'DONNELL BROS. TRANSPORT INC.","7177862501","080000","","","","","N","","","","","","N","","2","01579061","08"
2019040867,"05","1","398 MAIN STREET","","HARTLAND","NB","E7P1C","DAY & ROSS INC","5063755250","080000","","","","","N","","","","","","N","","1","00019176","08"
2019043155,"02","9","7040 CREEK RUN RD","","HARRISBURG","PA","17111","ADF CABLE CONSTRUCTION","7173179059","025999","","","","","N","","","","","","N","","2","02122968","09"
2019051079,"05","1","6205 WEST 101ST STREET","","CHICAGO RIDGE","IL","60415","SKYLINE EXPRESS","7178912672","080000","","","","","N","","","","","","N","MC253470","2","00484360","08"
2019052045,"03","4","190 N KING STREET","","DENVER","PA","17517","B&G EXCAVATING INC","7176293929","016001","","","","","N","","","","","","N","","1","02162929","03"
2019052045,"02","8","8 BEAVER VALLEY PK","","WILLOW STREET","PA","17584","SHULTZ TRANSPORTATION","7174645800","026001","","","","","N","","","","","","U","","2","00586386","11"
2019060531,"03","3","1502 INDUSTRIAL DRIVE","","MONONGAHELA","PA","15063","DUCT MATE INDUSTRIES, INC.","8889737600","052000","","","","","N","","","","","","U","","1","01504996","04"
2019066275,"02","6","592 PINE ST","","STEELTON","PA","17113","AKPOGUMAH TRANSPORT LLC","7173178872","031900","","","","","N","","","","","","N","","1","02866957","02"
2019068459,"04","3","1301 FAIRVIEW ROAD","","MCALISTERVILLE","PA","17049","DBA BURKHOLDER TRUCKING","7179537988","033001","","","","","N","","","","","","N","","2","03080267","05"
2019069227,"03","8","1715 GRACE AVE","","LEBANON","PA","17046","DB FISHER SCHOOL STUDENT TRANS","4123515800","","","","","","N","","","","","","N","9999","1","00999999","11"
2019071510,"02","1","3100 INDUSTRIAL PKWY","","JEFFERSONVILLE","IN","47130","RYDER TRUCK RENTAL","7175695365","030000","","","","","N","","","","","","N","","2","00165420","03"
2019073185,"05","1","519 PITTSBURGH RD","","BUTLER","PA","16022","HUNTER TRUCK","7249252495","065000","","","","","","","","","","","N","","3","00351780","08"
2019077363,"05","0","6505 N NASHVILLE AVE AP","","CHICAGO","IL","60631","MPM LOGISTICS CORP","7738175558","080000","","","","","N","","","","","","N","","3","16225877","08"
2019087606,"05","1","25 WISSLER RD","","LITITZ","PA","17543","MARTIN'S TRANSPORT INC","7177331235","","","","","","N","","","","","","N","","2","00388975","08"
2019088921,"04","4","1281 STETLER RD","","MIFFLINTOWN","PA","17059","AG SOURCE","7174362616","073280","","","","","N","","","","","","N","A-08916104","1","02446649","04"
2019098632,"05","9","4960 HORSHOE PIKE","","HONEYBROOK","PA","19344","ZOOK MOLASSES CO","7176062612","080000","","","","","N","","","","","","N","","2","00033024","08"
2019108323,"02","0","2745 BLACK BRIDGE ROAD","","YORK","PA","17406","I B ABEL INC.","8889422235","017950","","","","","N","","","","","","N","","1","00916720","09"
2019108323,"02","0","2745 BLACK BRIDGE ROAD","","YORK","PA","17406","I B ABEL INC.","8889422235","044000","","","","","N","","","","","","N","","5","00916720","09"
2019109183,"05","2","151 CREEK RD","","ELIZABETHTOWN","PA","17022","E E SHENK SONS NC","7176654040","080000","","","","","N","","","","","","N","","1","00276255","08"
2019112806,"99","8","45 ERICK ROAD","","LANCASTER","PA","17601","STOUH CENTRAL TRANSIT AUTHORITY","9999999999","","","","","","N","","","","","","N","","3","","13"
2019132181,"05","2","419 WEST HIGH STREET","","ELIZABETHTOWN","PA","17022","WHITE OAK MILLS INC","7173671525","080000","","","","","N","","","","","","Y","","2","00174508","08"
2019013341,"99","9","17TH & ARSENAL BLVD","","HARRISBURG","PA","17120","PENNDOT EQUIP 296-3098","9999999999","018000","","","","","N","","","","","","U","","1","","05"
2019014037,"03","1","273 SUNSET DR.","","RICHBORO","PA","18954","PENN CHOICE EXPRESS","2153808373","018000","","","","","N","","","","","","N","","2","02564367","08"
2019014250,"03","4","1245 EAGLES WAY P.O BOX 288","EAST EARL","PA","PA","17519","EAGLE DISPOSAL OF PA INC.","7173559560","058400","","","","","N","","","","","","N","A8911340","1","01413530","04"
2019015564,"05","1","13123 HIDDEN VALLEY DR","","HOMER GLEN","IL","60491","EVA LOGISTICS INC","3129786021","080000","","","","","N","","","","","","N","","3","01876969","06"
2019024610,"04","6","80 MAIN ST","","SOUTH PARIS","ME","04281","GALLETT AUTO RECYCLING LLC","2077438938","026000","","","","","N","","","","","","N","","1","00322466","98"
2019024819,"99","3","660 W BALTIMORE AVE POB 17","","MEDIA","PA","19063","DEAN KEYES TOWING","6105665621","999999","","","","","N","","","","","","N","","1","00241623","03"
2019027785,"05","1","3147 W 169TH PL","","HAMMOND","IN","46323","UPS","8007425877","080000","","","","","N","","","","","","N","","1","00021800","08"
2019029216,"99","9","121 BANEBERRY LN","","LITITZ","PA","17543","IMMACULATE LANDSCAPE SPECIALISTS","9999999999","016000","","","","","N","","","","","","U","","1","","99"
2019030095,"05","9","1414 MILLWOOD RD","","WILLOW ST","PA","17584","OLD GLORY EXPRESS","7176299136","080000","","","","","N","","","","","","N","","2","01873569","08"
2019031613,"03","9","601 TALLMADGE ROAD","","KENT","OH","44240","CARTER LUMBER TRANSPORT LLC","8003629553","068000","","","","","N","","","","","","N","","1","02546417","04"
2019043594,"02","1","10178 HIGH RIDGE ROAD","","LAUREL","MD","20723","NBP 2 CORPORATION","4106842727","017875","","","","","N","","","","","","N","","1","","03"
2019051896,"02","3","3333 HESPER RD","","BILLINGS","MT","59102","COMMONWEALTELEPHON","9999999999","016500","","","","","N","","","","","","N","","2","00567034","03"
2019053951,"99","9","2098 DIVISION HWY","","NEW HOLLAND","PA","17557","MACKS TIRE SERVICE","9999999999","016500","","","","","N","","","","","","U","","2","","99"
2019056479,"03","3","146 PENN ST","","WASHINGTON BORO","PA","17582","SLAYMAKER RENTALS & SUPPLY CO","7176845050","080000","","","","","N","","","","","","N","","1","00237073","06"
2019057537,"99","9","2502 HORSESHOE RD","","LANCASTER","PA","17601","EHC ASSOCIATES INC","9999999999","016500","","","","","N","","","","","","U","","1","","99"
2019062320,"03","4","4 BRIAR CT","","MILFORD","DE","19963","BEN S TRUCKING LLC","3022588339","080000","","","","","N","","","","","","N","","2","00159689","09"
2019066325,"04","4","2891 NEWPORT RD","","MANHEIM","PA","17545","DOUBLE D TRUCKING LLC","7175851271","","","","","","N","","","","","","N","","2","03275502","04"
2019066816,"99","3","3298 LINCOLN HIGHWAY E","","PARADISE","PA","17562","ESPOLAS AUTO TRANSPORT LLC","7173443098","013200","","","","","N","","","","","","N","","1","03127068","03"
2019074593,"03","4","2137 EMBASSY DR STE 212","","LANCASTER","PA","17603-2877","KFG TRUCKING LLC","7175877378","","","","","","N","","","","","","N","A-00122454","2","01393620","99"
2019076568,"03","7","85 BRICKYARD RD PO BOX","","YORK","PA","17402","PENN WASTE INC","7177674456","033001","","","","","N","","","","","","N","","1","02070588","04"
2019078404,"03","9","10550 BAYMEADOWS ROAD S","","JACKSONVILLE","FL","32256-451","ASIKA LLC","2153018494","012000","","","","","N","","","","","","Y","0","1","02818359","08"
2019084483,"05","0","13410 SUTTON PARK DR.","","JACKSONVILLE","FL","32224","LANDSTAR RANGER","8008729496","080000","","","","","N","","","","","","N","","2","00241572","08"
2019084483,"05","0","570 FURNICE HILLS","","LITITZ","PA","17543","SAUDER TRANSPORT CO.","7176262074","080000","","","","","N","","","","","","N","","3","00842145","08"
2019095603,"99","9","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","3","","99"
2019096887,"02","8","102 MARTIC HEIGHTS DR","","HOLTWOOD","PA","17532","DAVID ESCHBACH JR INC.","7172844162","008500","","","","","N","","","","","","N","A-00104844","2","00387575","11"
2019098617,"99","9","505 E MAIN ST","","NEW HOLLAND","PA","17557","LITTLE STREAM AUTO  RENTALS LLC","4844599896","011500","","","","","N","","","","","","U","","1","","99"
2019103917,"99","9","308 COMMERCE DR STE 200","","EXTON","PA","19341","RUSSELL SYSTEMS INC","9999999999","019500","","","","","N","","","","","","U","","1","","99"
2019104388,"02","1","36 KENT ROAD, UNIT 2","","UPPER DARBY","PA","19082","PA DIRECT","2158693914","026000","","","","","N","","","","","","N","","1","03158373","03"
2019104580,"05","1","9461 AQUEDUCT AVE","","NORTH HILLS","CA","91343","ARMAAN CARRIER INC.","8183570845","080000","","","","","N","","","","","","N","0","1","02627703","08"
2019106670,"05","1","2542 WOODLAWN AVE","","ELKHART","IN","46514","MILLERS TRUCK LEASING","6092883522","080000","","","","","N","","","","","","N","","1","00297242","08"
2019117564,"02","8","45 ERICK RD","","LANCASTER","PA","176013111","SOUTH CENTRAL TRANSIT AUTHORITY","7173581933","999999","","","","","N","","","","","","N","","1","","13"
2019118700,"04","4","5 WOODLAND DRIVE","","NEW PROVIDENCE","PA","17560","BILL NILESKI TRUCKING","4848860808","073280","","","","","N","","","","","","N","A-00122105","2","01403236","09"
2019124318,"99","8","45 ERICK RD.","","LANCASTER","PA","17601","RED ROSE TRANSIT AUTHORITY","7173975613","999999","","","","","N","","","","","","N","UNK","2","","13"
2019127491,"05","1","4701 W 2100 S","","SALT LAKE CITY","UT","84120","C R ENGLAND INC","8008971801","080000","","","","","N","","","","","","N","","1","00028406","08"
2019131588,"05","1","863 SYLVAN ST","","WHITELAND","IN","46184","MSD EXPRESS INC","3174468103","080000","","","","","N","","","","","","N","","1","01861529","08"
2019133636,"99","1","2361 LANCASTER RD","","MANHEIM","PA","17545","ROOTS NURSERIES INC","9999999999","014000","","","","","N","","","","","","N","","2","","05"
2019004344,"05","1","P.O. BOX 554","","JAMESBURG","NJ","08831","SYSTEM FREIGHT INC.","8005244449","052000","","","","","N","","","","","","N","","1","00143155","08"
2019004344,"03","9","O.B. BOX 581027","","PLEASANT PRAIRIE","WI","53158","ACTIVE USA LLC","8002374441","033000","","","","","N","","","","","","N","","2","00012358","08"
2019005243,"02","8","463 SWAMP RD","","MORGANTOWN","PA","19543","HERBERT C JEFFRIES","4847947681","026000","","","","","N","","","","","","N","","2","02289011","10"
2019005454,"04","7","P.O. BOX 3066","","YORK","PA","17402","EAGLE DISPOSAL","7173559560","073280","","","","","N","","","","","","N","A-8911340","2","01413530","04"
2019016892,"03","9","5508 LONAS RD","","KNOXVILLE","TN","37939","PILOT TRAVEL CENTERS","8778667378","080000","","","","","N","","","","","","N","","2","00091805","08"
2019017444,"02","1","505 PRINCE GEORGE DR","","LANCASTER","PA","17601","LARSEN LOGISTICS","7173142143","014000","","","","","N","","","","","","N","","1","00265752","03"
2019026330,"99","9","318 W CALA BREEZE WAY","","LITTLE EGG HARBOR","NJ","08087","FRANK PAPA OLYMOPIC NATIONAL","9999999999","999999","","","","","N","","","","","","N","","2","","08"
2019026360,"02","9","5201 WEST 84TH STREET","","INDIANAPOLIS","IN","462680000","GLOBAL RENTAL COMPANY INC","8884365537","018000","","","","","N","","","","","","N","","3","00010515","09"
2019030641,"99","9","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","1","","99"
2019035236,"04","9","6848 MOUNT HERMAN RD","","MORRISVILLE","NC","27560","ESTES EXPRESS LINE","8663783748","080000","","","","","N","","","","","","N","","1","00121018","08"
2019039853,"02","8","1524 HOLLYWOOD AVE","","LITITZ","PA","17543","RAYMOND E GROFF INC","7176268353","","","","","","N","","","","","","N","","2","99999999","10"
2019043544,"05","3","2047 KUTZTOWN RD","","READING","PA","19606","BRIGGS TRANSPORTATION CO","6109296969","080000","","","","","N","","","","","","N","A-00121607","2","01309342","08"
2019043768,"05","3","461 DILLER  AVE","","NEW HOLLAND","PA","17557","SINDALL","7173540606","080000","","","","","N","","","","","","N","A-00108658","2","00011785","08"
2019044286,"05","9","3801 WEST CHESTER PK","","NEWTON SQ","PA","19073","SUNCO","2152927461","016288","3","","","","Y","1","","","","","N","","1","","05"
2019044286,"05","9","7 DARLINGTON RD","","HAVRE","MD","21075","BANES","4106882496","075000","","","","","N","","","","","","N","","2","","05"
2019047225,"05","1","5330 ELIZABETHTOWN RD","","MANHEIM","PA","17545","ALLEN G WENGER","7172783381","080000","","","","","N","","","","","","N","","1","00947093","08"
