"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2017011140,"06","2","6800 FORT SMALLWOOD DR","","BALTIMORE","MD","21226","JET BLAST INC","4103379755","999999","","","","","N","","","","","","N","","2","00670287","04"
2017014568,"99","9","17TH & ARSENAL BLVD","","HARRISBURG","PA","17120","PENNDOT EQUIP 996-3027","9999999999","019500","","","","","N","","","","","","U","","2","","05"
2017015290,"04","4","410 TRUCE RD","","NEW PROVIDENCE","PA","17560","CARL KILLIAN TRUCKING","7177862493","022100","","","","","N","","","","","","N","","1","00519714","04"
2017021312,"05","2","1414 MILLWOOD RD","","WILLOW STREET","PA","17584","OLD GLORY ESPRESS","7175095584","080000","","","","","N","","","","","","N","","1","01873569","08"
2017025457,"99","3","435 BERNE RD","","HAMBURG","PA","19526","KARL SEYLER","7172716455","052000","","","","","N","","","","","","N","","1","00000000","08"
2017026426,"03","6","15556 CASSWOOD RD","","PAYNESVILLE","MN","56362","TRENT PAUL TRUCKING","3202501105","080000","","","","","N","","","","","","N","A-9999999","1","00621780","08"
2017034173,"03","4","1605 LANCASTER AVE","","COLUMBIA","PA","17512","MUSSER SUPPLY","7176842243","073280","","","","","N","","","","","","N","","2","00010897","04"
2017035571,"03","3","45 FARM LANE","","ATGLEN","PA","19310","REED AUTO SALVAGE","4846455034","019500","","","","","N","","","","","","N","","1","00902715","04"
2017042338,"03","1","23130 MILES ROAD","","SUTTON","ON","L0E1R0","NEWMARKET EQUIPMENT INC","9057220019","075289","","","","","N","","","","","","N","","1","00838505","08"
2017048634,"99","9","1182 N ROUTE 0","","BOONE","MO","65279","CLARK TRANSPORTATION","5734463302","034000","","","","","N","","","","","","N","","2","00360509","08"
